id,age,gender,time_spent_hour,engagement_score,platform,interests,country,demographics,profession,income,indebt
4bB73d,10,male,18,38.636,LinkedIn,hockey,tunisia,rural,Student,148637,true
6e608e,88,non-binary,23,11.987,linkedin,tennis,nauru,rural,student,242159,true
18,83,male,22,20.561,snapchat,drawing,kiribati,rural,teacher,171845,true
0a55d,63,non-binary,1,0.135,x,tennis,eritrea,urban,other,57045,true
6cf3ec0,39,female,17,26.148,x,hockey,luxembourg,rural,historian,202280,false
94,19,male,1,32.567,x,drawing,sao tome and principe,sub_urban,other,175812,false
fc2,38,male,3,15.784,facebook,tennis,zambia,sub_urban,doctor,78309,false
0e928,47,non-binary,23,17.474,SNapchat,hockey,kuwait,sub_urban,studenT,123162,true
a2197f4,93,male,6,4.146,facebook,drawing,dominican republic,rural,teacher,267211,false
0a242,51,female,0,11.807,linkedin,drawing,united kingdom,urban,teacher,39517,true
82,66,female,6,41.564,x,hockey,azerbaijan,rural,engineer,136323,true
fa79d,22,female,22,40.978,linkedin,drawing,greece,urban,historian,175112,false
774,16,female,4,15.913,snapchat,tennis,ukraine,sub_urban,teacher,77937,true
3697,10,female,22,18.161,x,hockey,nicaragua,rural,STudent,74921,true
de4,18,male,15,9.817,snapchat,drawing,bulgaria,rural,doctor,103848,false
f11,33,male,14,4.941,linkedin,tennis,cuba,rural,historian,249414,true
76,44,female,21,0.954,snapchat,tennis,denmark,sub_urban,engineer,274051,false
87a,58,female,4,10.772,linkedin,drawing,new zealand,rural,doctor,242373,true
EA,85,male,5,45.107,snapchat,tennis,mozambique,rural,STUDENT,153074,true
4bbf,84,female,11,21.54,linkedin,tennis,peru,rural,other,85312,true
a51b1,97,non-binary,8,49.888,snapchat,tennis,nicaragua,sub_urban,doctor,44985,false
17ab9f,73,non-binary,15,21.033,x,drawing,french southern territories,rural,doctor,170905,true
ad52552,83,non-binary,12,10.178,facebook,drawing,spain,urban,teacher,43362,false
636c0,72,female,15,6.41,linkedin,tennis,bosnia and herzegovina,urban,student,273170,false
9e8,96,non-binary,14,30.16,linkedin,tennis,eritrea,sub_urban,other,122002,true
80,59,male,16,15.751,youtube,hockey,qatar,rural,other,62042,true
c390,35,female,8,25.884,snapchat,drawing,south georgia and the south sandwich islands,sub_urban,engineer,276192,false
cd4c6,74,non-binary,8,10.731,youtube,hockey,gambia,sub_urban,student,191740,true
bf7e6b,41,female,6,26.262,linkedin,tennis,pitcairn,urban,doctor,144662,true
119584,95,non-binary,15,33.004,facebook,drawing,israel,sub_urban,historian,260967,true
74d4ea,22,male,17,2.747,youtube,drawing,cook islands,rural,doctor,216900,false
921,56,male,10,18.96,youtube,tennis,saudi arabia,sub_urban,other,235250,true
2adad,59,non-binary,12,21.537,facebook,tennis,argentina,rural,student,99765,true
8ba1bb,48,male,14,11.102,youtube,tennis,egypt,rural,teacher,83225,true
bd5c9,51,female,21,15.575,x,hockey,kuwait,urban,other,76043,false
9d9,44,non-binary,3,18.73,facebook,tennis,curaçao,rural,historian,42157,false
908ca,42,male,21,5.363,youtube,drawing,belgium,rural,other,152335,true
9eedc2,55,male,12,32.167,snapchat,hockey,guam,rural,doctor,37160,true
ab9be5c,85,female,4,12.723,linkedin,hockey,liechtenstein,rural,teacher,76273,true
68e1,39,female,11,33.479,youtube,tennis,congo the democratic republic of the,rural,historian,131366,true
83e3496,16,female,16,7.299,linkedin,drawing,uganda,rural,student,179708,true
c7843,61,non-binary,19,36.764,youtube,tennis,sao tome and principe,sub_urban,other,117883,true
d1b,82,male,6,29.148,linkedin,drawing,monaco,urban,teacher,176371,false
e4015,7,female,3,36.971,x,hockey,bouvet island,sub_urban,student,227499,true
6da,6,female,16,13.066,linkedin,hockey,grenada,urban,doctor,72114,false
f5,88,male,16,32.621,youtube,tennis,netherlands,rural,teacher,55599,true
bdd92,52,female,7,41.5,facebook,hockey,niue,rural,engineer,248681,false
59b4c6f,94,female,7,7.712,youtube,tennis,honduras,urban,historian,52285,false
3be00b2,93,male,19,38.567,x,tennis,poland,rural,teacher,286628,true
ce,46,male,20,43.702,linkedin,tennis,chad,urban,engineer,268612,true
033e63,70,male,10,38.149,youtube,drawing,finland,rural,teacher,116554,false
baa30cd,97,non-binary,18,32.022,youtube,drawing,jersey,sub_urban,teacher,97219,true
9fc,1,male,9,38.257,facebook,tennis,azerbaijan,urban,other,35293,false
f039bd4,27,male,12,22.015,x,tennis,france,sub_urban,student,190701,false
d256,7,male,20,0.892,x,hockey,zambia,rural,other,200964,false
d691c5e,27,non-binary,3,12.71,youtube,tennis,ethiopia,sub_urban,student,166703,false
ba9250,41,female,19,7.699,x,tennis,uzbekistan,sub_urban,engineer,291804,false
96b6,66,non-binary,4,16.149,facebook,hockey,finland,rural,doctor,253983,false
4b,56,female,20,14.404,linkedin,drawing,norfolk island,urban,doctor,239067,true
cead,97,male,6,17.086,youtube,tennis,belize,rural,doctor,257104,true
2e,59,non-binary,10,37.354,linkedin,tennis,burundi,urban,engineer,292646,true
0c2,54,male,9,25.781,x,hockey,svalbard and jan mayen,urban,teacher,144722,false
03,97,female,17,46.449,linkedin,hockey,south sudan,rural,doctor,65798,false
4f4399,39,male,20,11.07,facebook,tennis,western sahara,urban,teacher,87484,true
9229,44,male,6,27.365,linkedin,drawing,united states,rural,teacher,49203,false
85217,5,male,19,14.323,snapchat,tennis,singapore,sub_urban,engineer,191890,false
ba4e87,43,male,23,36.828,linkedin,tennis,kiribati,sub_urban,student,121175,false
d555cf8,54,female,3,18.27,facebook,tennis,congo the democratic republic of the,urban,engineer,284739,false
c86655,59,male,3,28.94,linkedin,tennis,hungary,urban,student,249724,false
ecfce,70,non-binary,20,34.392,snapchat,tennis,tunisia,urban,engineer,269798,true
760,78,male,9,34.88,youtube,hockey,belarus,sub_urban,doctor,57753,true
350993,23,male,1,8.031,facebook,drawing,ukraine,sub_urban,historian,229900,true
36a5,48,non-binary,0,21.219,youtube,drawing,myanmar,sub_urban,historian,37097,false
3d3,73,female,10,21.987,linkedin,drawing,canada,rural,other,260494,false
0895e76,70,male,10,44.005,youtube,drawing,kazakhstan,rural,doctor,165674,true
a818c21,72,female,3,12.146,facebook,drawing,kenya,urban,other,226762,false
9ff60,15,non-binary,8,14.505,snapchat,drawing,mexico,sub_urban,doctor,253460,true
b4d21,4,female,20,27.592,youtube,tennis,chile,urban,doctor,243068,false
ba4,94,female,6,44.965,facebook,drawing,chad,rural,student,163398,true
12e30,79,male,18,6.517,youtube,hockey,peru,rural,student,222252,true
