Entity	Code	Year	GDP per capita, PPP (constant 2017 international $)	Population (historical estimates)	Homicide rate per 100,000 population - Both sexes - All ages	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score
Afghanistan	AFG	2011	1961.0963	29249156	4.208668	61.4	4.25835
Afghanistan	AFG	2012	2122.8308	30466484	6.393913	61.9	
Afghanistan	AFG	2015	2108.714	33753500	9.975262	62.7	3.36
Afghanistan	AFG	2016	2101.422	34636212	6.6924186	63.1	3.794
Afghanistan	AFG	2017	2096.093	35643420	6.8006945	63	3.6315
Afghanistan	AFG	2018	2060.699	36686788	6.7435727	63.1	3.2033
Afghanistan	AFG	2019	2079.9219	37769496	7.180397	63.6	2.5669
Afghanistan	AFG	2020	1968.341	38972236	6.594439	62.6	2.5229
Afghanistan	AFG	2021	1516.3057	40099460	4.0224977	62	2.4038

